scope,profile,condition,budget_fraction,n,oracle_ambiguous_n,oracle_fine_n,oracle_nonambiguous_n,output_ABSTAIN,output_AMBIGUOUS,output_FINE,output_SECTOR_SAFE,outputs_json,ambiguous_recall,fine_recall,safe_nonambiguous_rate,nonabstain_yield,abstain_rate,median_query_fraction,worst_query_fraction
PROFILE_CONDITION,BALANCED,HIGH_INFORMATION_R3,0.2,6,0,2,6,6,0,0,0,"{""ABSTAIN"":6}",,0.0,0.0,0.0,1.0,0.1978319783197832,0.1978319783197832
PROFILE_CONDITION,BALANCED,HIGH_INFORMATION_R3,0.35,6,0,2,6,6,0,0,0,"{""ABSTAIN"":6}",,0.0,0.0,0.0,1.0,0.34959349593495936,0.34959349593495936
PROFILE_CONDITION,BALANCED,HIGH_INFORMATION_R3,0.5,6,0,2,6,0,0,0,6,"{""SECTOR_SAFE"":6}",,0.0,1.0,1.0,0.0,0.4986449864498645,0.4986449864498645
PROFILE_CONDITION,BALANCED,HIGH_INFORMATION_R3,0.75,6,0,2,6,0,0,2,4,"{""FINE"":2,""SECTOR_SAFE"":4}",,1.0,1.0,1.0,0.0,0.6395663956639567,0.6585365853658537
PROFILE_CONDITION,BALANCED,HIGH_INFORMATION_R3,1.0,6,0,2,6,0,0,2,4,"{""FINE"":2,""SECTOR_SAFE"":4}",,1.0,1.0,1.0,0.0,0.6395663956639567,0.6585365853658537
PROFILE_CONDITION,BALANCED,INTERMEDIATE_INFORMATION_S3,0.1,6,4,1,2,5,1,0,0,"{""ABSTAIN"":5,""AMBIGUOUS"":1}",0.25,0.0,0.0,0.16666666666666666,0.8333333333333334,0.09951219512195122,0.09951219512195122
PROFILE_CONDITION,BALANCED,INTERMEDIATE_INFORMATION_S3,0.2,6,4,1,2,5,1,0,0,"{""ABSTAIN"":5,""AMBIGUOUS"":1}",0.25,0.0,0.0,0.16666666666666666,0.8333333333333334,0.2,0.2
PROFILE_CONDITION,BALANCED,INTERMEDIATE_INFORMATION_S3,0.35,6,4,1,2,3,3,0,0,"{""ABSTAIN"":3,""AMBIGUOUS"":3}",0.75,0.0,0.0,0.5,0.5,0.3219512195121951,0.3492682926829268
PROFILE_CONDITION,BALANCED,INTERMEDIATE_INFORMATION_S3,0.5,6,4,1,2,0,4,0,2,"{""AMBIGUOUS"":4,""SECTOR_SAFE"":2}",1.0,0.0,1.0,1.0,0.0,0.3312195121951219,0.4995121951219512
PROFILE_CONDITION,BALANCED,INTERMEDIATE_INFORMATION_S3,0.75,6,4,1,2,0,4,1,1,"{""AMBIGUOUS"":4,""FINE"":1,""SECTOR_SAFE"":1}",1.0,1.0,1.0,1.0,0.0,0.3312195121951219,0.6595121951219513
PROFILE_CONDITION,BALANCED,INTERMEDIATE_INFORMATION_S3,1.0,6,4,1,2,0,4,1,1,"{""AMBIGUOUS"":4,""FINE"":1,""SECTOR_SAFE"":1}",1.0,1.0,1.0,1.0,0.0,0.3312195121951219,0.6595121951219513
PROFILE_CONDITION,BALANCED,LOW_INFORMATION_F0,0.1,6,6,0,0,0,6,0,0,"{""AMBIGUOUS"":6}",1.0,,,1.0,0.0,0.000975609756097561,0.000975609756097561
PROFILE_CONDITION,BALANCED,LOW_INFORMATION_F0,0.2,6,6,0,0,0,6,0,0,"{""AMBIGUOUS"":6}",1.0,,,1.0,0.0,0.000975609756097561,0.000975609756097561
PROFILE_CONDITION,BALANCED,LOW_INFORMATION_F0,0.35,6,6,0,0,0,6,0,0,"{""AMBIGUOUS"":6}",1.0,,,1.0,0.0,0.000975609756097561,0.000975609756097561
PROFILE_CONDITION,BALANCED,LOW_INFORMATION_F0,0.5,6,6,0,0,0,6,0,0,"{""AMBIGUOUS"":6}",1.0,,,1.0,0.0,0.000975609756097561,0.000975609756097561
PROFILE_CONDITION,BALANCED,LOW_INFORMATION_F0,0.75,6,6,0,0,0,6,0,0,"{""AMBIGUOUS"":6}",1.0,,,1.0,0.0,0.000975609756097561,0.000975609756097561
PROFILE_CONDITION,BALANCED,LOW_INFORMATION_F0,1.0,6,6,0,0,0,6,0,0,"{""AMBIGUOUS"":6}",1.0,,,1.0,0.0,0.000975609756097561,0.000975609756097561
PROFILE_CONDITION,RESOLUTION_FAVORING,HIGH_INFORMATION_R3,0.1,6,1,1,5,6,0,0,0,"{""ABSTAIN"":6}",0.0,0.0,0.0,0.0,1.0,0.0975609756097561,0.0975609756097561
PROFILE_CONDITION,RESOLUTION_FAVORING,HIGH_INFORMATION_R3,0.2,6,1,1,5,6,0,0,0,"{""ABSTAIN"":6}",0.0,0.0,0.0,0.0,1.0,0.1978319783197832,0.1978319783197832
PROFILE_CONDITION,RESOLUTION_FAVORING,HIGH_INFORMATION_R3,0.35,6,1,1,5,6,0,0,0,"{""ABSTAIN"":6}",0.0,0.0,0.0,0.0,1.0,0.34959349593495936,0.34959349593495936
PROFILE_CONDITION,RESOLUTION_FAVORING,HIGH_INFORMATION_R3,0.5,6,1,1,5,6,0,0,0,"{""ABSTAIN"":6}",0.0,0.0,0.0,0.0,1.0,0.4986449864498645,0.4986449864498645
PROFILE_CONDITION,RESOLUTION_FAVORING,HIGH_INFORMATION_R3,0.75,6,1,1,5,0,1,0,5,"{""AMBIGUOUS"":1,""SECTOR_SAFE"":5}",1.0,0.0,1.0,1.0,0.0,0.6761517615176151,0.7479674796747967
PROFILE_CONDITION,RESOLUTION_FAVORING,HIGH_INFORMATION_R3,1.0,6,1,1,5,0,1,1,4,"{""AMBIGUOUS"":1,""FINE"":1,""SECTOR_SAFE"":4}",1.0,1.0,1.0,1.0,0.0,0.6761517615176151,0.7588075880758808
